Company Name ,Street Address ,Geocode Address,City,Zip,State,Category
Tribal Ventures,195 North Harbor Drive,196 North Harbor Drive,Chicago,60601,IL,Investor
Trinet ,"5th Floor, 111 W Illinois St",111 W Illinois St,Chicago,60654,IL,Service Provider
Victory Park Capital,227 W Monroe St # 3900,228 W Monroe St,Chicago,60606,IL,Investment Management
Wells Fargo ,10 S Wacker Dr,11 S Wacker Dr,Chicago,60606,IL,Banking
Wells Fargo Advisors,30 South Wacker Drive Suite 4000,31 South Wacker Drive,Chicago,60606,IL,Investment Management
West Loop Ventures,"230 W Superior, Suite 200",231 W Superior,Chicago,60654,IL,Investor
William Blair,222 West Adams Street,223 West Adams Street,Chicago,60606,IL,Banking
WP Global Partners,"155 N. Wacker Dr., Suite 4400",156 N. Wacker Dr.,Chicago,60606,L,Investor
YCharts ,414 N Orleans St #302,415 N Orleans St,Chicago,60654,IL,Data & Analytics
Yezzi (POMS),"920 N. Franklin, Suite 301 Chicago",921 N. Franklin,Chicago,60610,IL,Payments
Coaccession,,,,,,Investment Management
Evestment,,,,,,Data & Analytics
